"ts","symbol","open","high","low","close","volume"
"2025-04-07T04:00:00.000Z","ES","5007","5286.5","4832","5097.25","3673583"
"2025-04-07T04:00:00.000Z","NQ","17100","18361.5","16460","17563.25","1140389"
"2025-04-08T04:00:00.000Z","ES","5126.5","5305.25","4940.5","5020.25","2438061"
"2025-04-08T04:00:00.000Z","NQ","17665","18357.25","16973.5","17243.75","956641"
"2025-04-09T04:00:00.000Z","ES","5006.25","5520","4871.75","5491","3096194"
"2025-04-09T04:00:00.000Z","NQ","17220.25","19386.75","16735","19288.75","1086917"
"2025-04-10T04:00:00.000Z","ES","5502.5","5528.75","5146.75","5302","2524214"
"2025-04-10T04:00:00.000Z","NQ","19266.75","19383.5","17919","18484.5","975104"
"2025-04-11T04:00:00.000Z","ES","5299.25","5418.25","5206","5391.25","1759660"
"2025-04-11T04:00:00.000Z","NQ","18464.75","18873.5","18067","18807.5","667630"
"2025-04-14T04:00:00.000Z","ES","5452.5","5497.75","5391","5440.75","1303900"
"2025-04-14T04:00:00.000Z","NQ","19225","19256","18737.5","18934.75","570510"
"2025-04-15T04:00:00.000Z","ES","5431.75","5485","5413","5428.25","1158703"
"2025-04-15T04:00:00.000Z","NQ","18902.5","19144.75","18809","18960.25","525790"
"2025-04-16T04:00:00.000Z","ES","5403.75","5425","5251","5305.75","1559064"
"2025-04-16T04:00:00.000Z","NQ","18790","18861.25","18116.25","18385.25","683175"
"2025-04-17T04:00:00.000Z","ES","5308","5371.25","5285.5","5312.75","1381396"
"2025-04-17T04:00:00.000Z","NQ","18391.25","18652.75","18261.5","18380.75","629368"
"2025-04-21T04:00:00.000Z","ES","5283.75","5306.75","5127.25","5184.75","1191218"
"2025-04-21T04:00:00.000Z","NQ","18306.25","18383.5","17700","17922.25","484750"
"2025-04-22T04:00:00.000Z","ES","5182.5","5339.25","5171.75","5314.75","1572006"
"2025-04-22T04:00:00.000Z","NQ","17914","18514","17863.75","18385","619146"
"2025-04-23T04:00:00.000Z","ES","5379.75","5499.75","5377.75","5401.75","1846494"
"2025-04-23T04:00:00.000Z","NQ","18646","19165.5","18623.75","18804","733977"
"2025-04-24T04:00:00.000Z","ES","5409","5541.5","5355.25","5511.25","1411419"
"2025-04-24T04:00:00.000Z","NQ","18826.5","19418","18594.75","19322","599457"
"2025-04-25T04:00:00.000Z","ES","5529","5562.25","5480.25","5549.75","1339888"
"2025-04-25T04:00:00.000Z","NQ","19405","19589","19216.25","19535.25","587589"
"2025-04-28T04:00:00.000Z","ES","5544","5578.75","5492","5553","1198801"
"2025-04-28T04:00:00.000Z","NQ","19524.5","19623","19257.25","19528","514474"
"2025-04-29T04:00:00.000Z","ES","5543","5597.25","5521.5","5583.75","1227182"
"2025-04-29T04:00:00.000Z","NQ","19478.25","19688.5","19378","19642","565539"
"2025-04-30T04:00:00.000Z","ES","5579.5","5626.25","5455.5","5587","1833646"
"2025-04-30T04:00:00.000Z","NQ","19599.75","19880","19103.75","19658.5","713642"
"2025-05-01T04:00:00.000Z","ES","5617.5","5682.5","5601.75","5623.25","1388619"
"2025-05-01T04:00:00.000Z","NQ","19834","20125.75","19757.25","19870.75","588901"
"2025-05-02T04:00:00.000Z","ES","5608.5","5724.75","5601","5709","1383367"
"2025-05-02T04:00:00.000Z","NQ","19782.5","20276.75","19749.5","20195.25","517806"
"2025-05-05T04:00:00.000Z","ES","5705","5706.25","5655.25","5671.75","989373"
"2025-05-05T04:00:00.000Z","NQ","20181.5","20201.75","19966","20055.5","418875"
"2025-05-06T04:00:00.000Z","ES","5666.25","5673.25","5605","5625.75","1303877"
"2025-05-06T04:00:00.000Z","NQ","20014.25","20036.75","19739","19876.5","514526"
"2025-05-07T04:00:00.000Z","ES","5608.5","5689.75","5596","5652","1390561"
"2025-05-07T04:00:00.000Z","NQ","19809","20133.75","19678.75","19961","597360"
"2025-05-08T04:00:00.000Z","ES","5643.25","5741","5636.5","5684.5","1428613"
"2025-05-08T04:00:00.000Z","NQ","19934.5","20337.25","19910.75","20148","567597"
"2025-05-09T04:00:00.000Z","ES","5688.5","5715.25","5662.5","5678","1029418"
"2025-05-09T04:00:00.000Z","NQ","20157","20288.75","20058","20136.75","453686"
"2025-05-12T04:00:00.000Z","ES","5761","5876.25","5734.25","5865","1765593"
"2025-05-12T04:00:00.000Z","NQ","20398.5","20996","20376.75","20948.75","638564"
"2025-05-13T04:00:00.000Z","ES","5868","5927","5835.75","5904.5","1335457"
"2025-05-13T04:00:00.000Z","NQ","20954.75","21346.5","20818","21278","526706"
"2025-05-14T04:00:00.000Z","ES","5902","5925","5890","5908.5","1207202"
"2025-05-14T04:00:00.000Z","NQ","21250","21419.5","21238.25","21392.5","513593"
"2025-05-15T04:00:00.000Z","ES","5904","5944.5","5867","5933.25","1291986"
"2025-05-15T04:00:00.000Z","NQ","21379.75","21529.75","21192","21400.25","542990"
"2025-05-16T04:00:00.000Z","ES","5935","5977.5","5923","5975.5","1180875"
"2025-05-16T04:00:00.000Z","NQ","21396","21512","21320.25","21506","419242"
"2025-05-19T04:00:00.000Z","ES","5930.25","5987.5","5892.75","5982.5","1245859"
"2025-05-19T04:00:00.000Z","NQ","21310.75","21544.5","21112.5","21527","520282"
"2025-05-20T04:00:00.000Z","ES","5980","5993.5","5926.75","5959.75","1112908"
"2025-05-20T04:00:00.000Z","NQ","21513","21562.25","21298","21447.25","437865"
"2025-05-21T04:00:00.000Z","ES","5953.5","5958.25","5847.75","5861.25","1548946"
"2025-05-21T04:00:00.000Z","NQ","21414.75","21558.5","21072.75","21156.75","605668"
"2025-05-22T04:00:00.000Z","ES","5858","5895","5828.75","5856.75","1419522"
"2025-05-22T04:00:00.000Z","NQ","21145","21337.5","21040","21178.25","512634"
"2025-05-23T04:00:00.000Z","ES","5869.25","5872","5756.5","5817","1537693"
"2025-05-23T04:00:00.000Z","NQ","21223.75","21236","20727","20975","528055"
"2025-05-27T04:00:00.000Z","ES","5820","5941.75","5813","5934.25","1288369"
"2025-05-27T04:00:00.000Z","NQ","20978","21488.5","20954.25","21460.5","531358"
"2025-05-28T04:00:00.000Z","ES","5940.75","5952.5","5890","5902.75","1181330"
"2025-05-28T04:00:00.000Z","NQ","21480","21567.5","21321.25","21379.75","421653"
"2025-05-29T04:00:00.000Z","ES","5923.5","6008","5884","5922.75","1414864"
"2025-05-29T04:00:00.000Z","NQ","21513","21858.75","21301","21408.5","563888"
"2025-05-30T04:00:00.000Z","ES","5912.25","5932.75","5853.25","5916","1633334"
"2025-05-30T04:00:00.000Z","NQ","21371.25","21433.5","21071.5","21376.75","551092"
"2025-06-02T04:00:00.000Z","ES","5898.75","5955.5","5867.5","5947.25","1194125"
"2025-06-02T04:00:00.000Z","NQ","21303.75","21576.25","21163","21534.5","434593"
"2025-06-03T04:00:00.000Z","ES","5949","5991.25","5909.25","5981.5","1154297"
